Timestep	Duration (ma)	End Time (ma)	Elastic ehmin	Elastic ehmax	Total ehmin	Total ehmax	FS HMin Mode1												FS HMin Mode2												FS HMax Mode1												FS HMax Mode2												uF Porosity: Uniform aperture	MF Porosity: Uniform aperture	uF Porosity: Size-dependent aperture	MF Porosity: Size-dependent aperture	uF Porosity: Dynamic aperture	MF Porosity: Dynamic aperture	uF Porosity: Barton-Bandis aperture	MF Porosity: Barton-Bandis aperture	
							Fracture stage	Driving stress	a_uFP30	s_uFP30	a_uFP32	s_uFP32	a_MFP30	sII_MFP30	sIJ_MFP30	a_MFP32	s_MFP32	Theta_dashed	Fracture stage	Driving stress	a_uFP30	s_uFP30	a_uFP32	s_uFP32	a_MFP30	sII_MFP30	sIJ_MFP30	a_MFP32	s_MFP32	Theta_dashed	Fracture stage	Driving stress	a_uFP30	s_uFP30	a_uFP32	s_uFP32	a_MFP30	sII_MFP30	sIJ_MFP30	a_MFP32	s_MFP32	Theta_dashed	Fracture stage	Driving stress	a_uFP30	s_uFP30	a_uFP32	s_uFP32	a_MFP30	sII_MFP30	sIJ_MFP30	a_MFP32	s_MFP32	Theta_dashed									
12	7.56528084483094E-06	0.143202645530889	-0.000205776455308892	0.00122625	-0.00143202645530889	0	NotActivated	0	0.00261684516323801	0	0.00788657360421846	0	0.000222222222222222	0	0	0	0	0.991582181314023	Growing	95193.2132203727	0.00251343104054124	4.87151789654334E-05	0.00680687211792596	0.000139563031965501	0.000430450582720075	1.40159640898004E-05	0	0.00456378116797363	9.69670880014932E-05	0.973058085633353	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	1.54532286127983E-05	2.33037412798756E-06	2.72266428723945E-07	2.19632587218043E-07	0	0	5.9257312742947E-06	1.22669135999664E-06	
13	6.92014430262949E-06	0.143209565675192	-0.000205845656751918	0.00122625	-0.00143209565675192	0	NotActivated	0	0.00261231661805985	0	0.00787292560342373	0	0.000222222222222222	0	0	0	0	0.990168701867054	Growing	95790.3880837715	0.00250376997706964	5.31088746593531E-05	0.00674953845533135	0.000152680824630328	0.000440226561845466	1.57025045368107E-05	0	0.00496895991094185	0.000115428893565082	0.969978299508953	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	1.5424296677436E-05	2.54219440225346E-06	2.71598305236502E-07	2.39596177743497E-07	0	0	5.91197735422406E-06	1.33820808134175E-06	
14	6.37902480518017E-06	0.143215944699997	-0.00020590944699997	0.00122625	-0.00143215944699997	0	NotActivated	0	0.00260778809169462	0	0.00785927765932687	0	0.000222222222222222	0	0	0	0	0.988733535870672	Growing	96340.8669610967	0.00249438064163463	5.7499123987345E-05	0.00669521999189179	0.0001658792350257	0.000449406312990598	1.74275321608009E-05	0	0.00537254940459436	0.000135478188514863	0.966879768014854	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	1.53969126788655E-05	2.75401379655461E-06	2.70973134590333E-07	2.59559685334227E-07	0	0	5.89903314802714E-06	1.4497256614243E-06	
15	5.91867729862659E-06	0.143221863377296	-0.000205968633772957	0.00122625	-0.00143221863377296	0	NotActivated	0	0.00260325958516603	0	0.00784562977501309	0	0.000222222222222222	0	0	0	0	0.987279781566775	Growing	96851.6200831038	0.00248523291537072	6.18860336393975E-05	0.0066435447707459	0.000179154231199613	0.000458053657828329	1.91892078250307E-05	0	0.00577454915386906	0.000157115372146982	0.963765596486052	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	1.53708886242226E-05	2.96583226300802E-06	2.70385586742648E-07	2.79523105477368E-07	0	0	5.88680046842578E-06	1.56124397940808E-06	
16	5.5222964682338E-06	0.143227385673764	-0.000206023856737639	0.00122625	-0.00143227385673764	0	NotActivated	0	0.0025987310992572	0	0.00783198195284257	0	0.000222222222222222	0	0	0	0	0.985809917306138	Growing	97328.1674634545	0.00247630173095537	6.62696994963296E-05	0.00659420706325364	0.000192502199988413	0.00046622184176105	2.0985897688488E-05	0	0.00617495836587307	0.000180341164092969	0.960638270370537	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	1.53460698437856E-05	3.17764976498302E-06	2.69831292427311E-07	2.9948643472056E-07	0	0	5.87519850791276E-06	1.6727629341614E-06	
17	5.17743263753841E-06	0.143232563106401	-0.000206075631064014	0.00122625	-0.00143232563106401	0	NotActivated	0	0.0025942026345872	0	0.00781833419468103	0	0.000222222222222222	0	0	0	0	0.984325956535767	Growing	97774.9547691602	0.00246756597535659	7.06502089702971E-05	0.00654695239096561	0.00020591990086879	0.000473955815700265	2.28161388155776E-05	0	0.00657377598768551	0.000205156559360468	0.957499810237085	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	1.5322327479001E-05	3.38946627352299E-06	2.69306623964047E-07	3.19449670334706E-07	0	0	5.86415992642133E-06	1.78428243959197E-06	
18	4.8746674758691E-06	0.143237437773877	-0.000206124377738773	0.00122625	-0.00143237437773877	0	NotActivated	0	0.00258967419166078	0	0.0078046865020497	0	0.000222222222222222	0	0	0	0	0.982829557197699	Growing	98195.6149110171	0.00245900767906522	7.50276426158406E-05	0.00650156657644602	0.000219404421912956	0.000481293924835153	2.46786122389158E-05	0	0.00697100073781428	0.000231562792222679	0.954351881186176	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	1.52995529859477E-05	3.60128176501848E-06	2.68808535409982E-07	3.39412810094668E-07	0	0	5.85362798714569E-06	1.89580242134268E-06	
19	4.60674494555069E-06	0.143242044518823	-0.000206170445188228	0.00122625	-0.00143242044518823	0	NotActivated	0	0.00258514577090154	0	0.00779103887622516	0	0.000222222222222222	0	0	0	0	0.981322100736549	Growing	98593.1546389842	0.0024506114057761	7.94020752804708E-05	0.00645786758462322	0.000232953139899588	0.000488269181861224	2.65721215338808E-05	0	0.0073666311324609	0.000259561306851599	0.951195871864723	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	1.52776540361173E-05	3.81309621965625E-06	2.68334443723499E-07	3.59375852133092E-07	0	0	5.84355441952643E-06	2.00732281438974E-06	
20	4.36798486537718E-06	0.143246412503688	-0.000206214125036882	0.00122625	-0.00143246412503688	0	NotActivated	0	0.0025806173726745	0	0.00777739131830751	0	0.000222222222222222	0	0	0	0	0.979804750313743	Growing	98970.0905309589	0.00244236378535542	8.37735769545896E-05	0.00641569933979015	0.000246563685111509	0.000494910242748262	2.84955755452286E-05	0	0.00776066550755709	0.000289153733168354	0.948032952684503	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	1.52565514073479E-05	4.02490962036272E-06	2.67882138902498E-07	3.79338794840833E-07	0	0	5.83389779779741E-06	2.11884356125625E-06	
21	4.15387741560876E-06	0.143250566381104	-0.000206255663811038	0.00122625	-0.00143250566381104	0	NotActivated	0	0.00257608899730178	0	0.00776374382926759	0	0.000222222222222222	0	0	0	0	0.978278494466898	Growing	99328.5499892829	0.00243425315119402	8.81422134188808E-05	0.00637492696876088	0.000260233910676722	0.000501242165510172	3.04479742929838E-05	0	0.00815310203735598	0.000320341866784438	0.944864119483917	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	1.52361765900959E-05	4.23672195207021E-06	2.67449714995452E-07	3.99301636797791E-07	0	0	5.82462229217851E-06	2.23036461065682E-06	
